TotalSpend,PurchaseFrequency,OrderHabit,Recency,AvgPurchaseGap,Trend,PseudoChurn,ReturnRate,CLV,Log_TotalSpend,Log_PurchaseFrequency,BC_PurchaseFrequency,PurchaseFreq_Label,IsFrequentBuyer,Log_OrderHabit,OrderHabit_Label,Log_Recency,BC_Recency,Recency_Label,Recency_QBin,Log_AvgPurchaseGap,Gap_Label,Churn,Trend_Refined,Return_Label,SpendPerOrder,SpendRate,GapPerOrder,Log_SpendRate
169.36,2,12.0,155,5.130434783,Increasing,1,0.428571429,77183.6,5.137913845055013,1.0986122886681098,0.8594831365124666,Rare,0,2.5649493574615367,Light Buyer,5.049856007249537,7.041233145352108,Mid Term,Dormant,1.8132656745128484,Occasional,0,Increasing,High Returner,84.68,1.0926451612903227,2.5652173915,0.73842889315711
611.53,1,509.0,30,0.0,Flag,0,0.0,4085.18,6.417597920811258,0.6931471805599453,0.5921894716885845,Rare,0,6.234410725718371,Bulk Buyer,3.4339872044851463,4.289556351518645,Very Recent,Mid Term,0.0,Single Purchase,0,Seasonal Buyer,No Return,611.53,20.384333333333334,0.0,3.0626585666936776
222.16,1,373.0,64,0.0,Increasing,0,0.0,1797.24,5.407889002977328,0.6931471805599453,0.5921894716885845,Rare,0,5.924255797414532,Bulk Buyer,4.174387269895637,5.481602185030136,Recent,Old,0.0,Single Purchase,0,Increasing,No Return,222.16,3.47125,0.0,1.4976680115910903
2671.14,3,331.0,33,1.782178218,Increasing,0,0.00501002,1757.55,7.890634928493536,1.3862943611198906,1.0206845338277533,Low,0,5.805134968916488,Bulk Buyer,3.5263605246161616,4.432319947904438,Very Recent,Mid Term,1.0232341525565434,Moderate,0,Increasing,Occasional Returner,890.38,80.94363636363636,0.5940594060000001,4.406031649504016
343.8,2,94.0,1,0.941176471,Flag,0,0.0,1665.74,5.842964538789538,1.0986122886681098,0.8594831365124666,Rare,0,4.553876891600541,Moderate Buyer,0.6931471805599453,0.7240856053100515,Very Recent,Very Recent,0.6632942176223854,Frequent,0,New Buyer,No Return,171.9,343.8,0.4705882355,5.842964538789538
317.76,1,192.0,34,0.0,Flag,0,0.0,89.0,5.764438468529548,0.6931471805599453,0.5921894716885845,Rare,0,5.262690188904886,Regular Buyer,3.5553480614894135,4.477461518679025,Very Recent,Mid Term,0.0,Single Purchase,0,New Buyer,No Return,317.76,9.345882352941176,0.0,2.3365886002563934
488.21,1,303.0,193,0.0,Decreasing,1,0.0,459.4,6.192791845141295,0.6931471805599453,0.5921894716885845,Rare,0,5.717027701406222,Heavy Buyer,5.267858159063328,7.456895892717165,Mid Term,Dormant,0.0,Single Purchase,0,Decreasing,No Return,488.21,2.5295854922279792,0.0,1.2611804397524098
3562.25,3,608.6666667,6,0.518072289,Flag,0,0.0,2811.43,8.17842832873514,1.3862943611198906,1.0206845338277533,Low,0,6.4129123597774305,Bulk Buyer,1.9459101490553132,2.2031928821978397,Very Recent,Very Recent,0.41744129905170546,Frequent,0,Seasonal Buyer,No Return,1187.4166666666667,593.7083333333334,0.172690763,6.388071089281823
12079.99,2,1939.5,14,0.0,Flag,0,0.0,6207.67,9.399388421773173,1.0986122886681098,0.8594831365124666,Rare,0,7.570700950808961,Bulk Buyer,2.70805020110221,3.223234384912474,Very Recent,Recent,0.0,Single Purchase,0,Seasonal Buyer,No Return,6039.995,862.8564285714285,0.0,6.761406584361265
2719.01,3,277.0,1,6.228070175,Decreasing,0,0.0,484.86,7.908390835753873,1.3862943611198906,1.0206845338277533,Low,0,5.627621113690637,Heavy Buyer,0.6931471805599453,0.7240856053100515,Very Recent,Very Recent,1.9779720814542967,Occasional,0,Decreasing,No Return,906.3366666666667,2719.01,2.076023391666667,7.908390835753873
